"base_repo_original","repo_stars","repo_forks","repo_createdAt","repo_updatedAt","repo_url","is_mozilla_repo"
"argonaut-io/argonaut",545,112,"2012-12-09T12:11:48Z","2023-06-14T00:44:46Z","https://argonaut-io.github.io/argonaut.io/","false"
"node-inspector/node-inspector",12627,751,"2010-07-17T23:20:19Z","2023-08-03T07:54:28Z","","false"
"slick/slick",2608,614,"2009-02-20T22:51:53Z","2023-08-07T10:43:20Z","https://scala-slick.org/","false"
"snapframework/snap-website",77,26,"2010-05-22T04:07:17Z","2022-07-20T12:05:53Z","http://snapframework.com/","false"
"spring-attic/spring-security-oauth",4667,4088,"2011-07-26T18:08:49Z","2023-08-04T02:14:09Z","http://github.com/spring-projects/spring-security-oauth","false"
"saebekassebil/teoria",1272,124,"2011-11-14T19:28:53Z","2023-08-04T16:16:19Z","http://saebekassebil.github.io/teoria","false"
"saebekassebil/piu",40,3,"2013-07-22T21:41:03Z","2023-08-01T03:07:26Z",,"false"
"saebekassebil/musicjson",95,15,"2011-08-24T11:58:07Z","2023-02-28T08:02:51Z","","false"
"andrewplummer/Sugar",4506,326,"2011-07-12T18:19:34Z","2023-08-05T06:55:39Z","https://sugarjs.com/","false"
"codemirror/codemirror5",26091,5029,"2011-01-14T13:44:03Z","2023-08-07T09:36:02Z","http://codemirror.net/5/","false"
"fgnass/domino",746,103,"2012-01-17T23:19:38Z","2023-06-21T18:52:00Z","","false"
"nandub/hubot-irc",302,136,"2011-11-27T07:20:23Z","2023-07-26T02:17:28Z","","false"
"processing-js/processing-js",3092,910,"2011-01-22T21:07:41Z","2023-07-28T20:59:41Z","http://processingjs.org/","false"
"mozilla/butter",281,139,"2011-07-04T16:02:06Z","2023-07-31T22:28:41Z","http://mozillapopcorn.org","false"
"mozilla/popcorn.webmaker.org",145,124,"2013-05-10T20:15:43Z","2023-01-27T22:47:31Z","https://blog.mozilla.org/foundation-archive/mozilla-learning/product-update-for-appmaker-and-popcorn-maker/","false"
"mozilla/webmaker.org",70,99,"2013-03-14T17:01:22Z","2023-01-28T20:22:59Z","https://webmaker.org","false"
"mozilla/popcorn-js",2151,645,"2010-05-21T17:40:35Z","2023-08-05T21:31:12Z","","true"
"mozilla/donate.mozilla.org",63,57,"2015-06-09T14:14:58Z","2023-07-28T17:38:43Z","https://donate.mozilla.org","false"
"mozilla/login.webmaker.org",32,62,"2012-09-13T18:40:20Z","2023-01-28T12:41:04Z","https://login.webmaker.org","false"
"mozilla/thimble.mozilla.org",1418,543,"2013-04-10T15:54:34Z","2023-07-28T17:37:55Z","https://glitch.com","false"
"jbuck/express-persona",67,16,"2012-09-20T23:40:09Z","2021-08-25T07:21:06Z","http://jbuck.github.com/express-persona","false"
"mozilla-appmaker/appmaker",426,196,"2013-07-22T22:09:17Z","2023-05-30T19:19:39Z","","false"
"jbuck/input.js",59,11,"2011-10-15T19:05:16Z","2023-06-27T05:36:36Z","","false"
"mozilla/advocacy.mozilla.org",174,34,"2014-06-25T00:17:15Z","2023-07-28T17:38:20Z","https://advocacy.mozilla.org","true"
"atmos/camo",1754,395,"2010-11-13T02:56:46Z","2023-07-28T02:38:55Z","","true"
"mozilla/openbadges-badgekit",123,84,"2013-10-15T14:23:03Z","2023-01-28T13:02:01Z","https://badgekit.org","true"
"brianloveswords/habitat",38,8,"2012-10-04T19:10:44Z","2020-09-22T06:12:03Z",,"false"
"mozilla/fxa-auth-server",402,120,"2013-05-13T21:42:48Z","2023-06-16T16:20:48Z","","true"
"mozilla/fxa-content-server",165,128,"2013-07-30T23:35:35Z","2023-07-07T20:44:19Z","","true"
"mozilla/nunjucks",8211,677,"2012-08-09T05:40:44Z","2023-08-07T08:54:21Z","https://mozilla.github.io/nunjucks/","false"
"mozilla/bedrock",1116,945,"2011-04-14T22:57:57Z","2023-08-04T16:30:23Z","https://www.mozilla.org","false"
"gladiusjs/gladius-core",447,48,"2011-06-06T18:50:16Z","2023-06-27T04:33:10Z","","false"
"mozilla/fxa-oauth-server",48,40,"2014-02-13T22:41:50Z","2023-01-28T23:10:03Z","","true"
"mozilla/popcorn_maker",33,29,"2012-04-20T11:01:05Z","2023-03-10T23:45:26Z",,"true"
"mozilla/webmaker-browser",43,35,"2015-03-02T16:28:36Z","2023-04-28T07:17:25Z","https://webmaker.org","false"
"Automattic/knox",1740,294,"2010-09-16T18:05:43Z","2023-07-23T11:14:59Z","","false"
"helmetjs/helmet",9687,401,"2012-02-01T22:54:45Z","2023-08-07T12:09:01Z","https://helmetjs.github.io/","false"
"mozilla/TLS-Observer",519,97,"2014-09-11T15:23:25Z","2023-07-29T17:35:36Z","","true"
"mozilla/idea-town",251,123,"2015-08-12T21:27:27Z","2023-03-27T15:53:18Z","https://testpilot.firefox.com/","true"
"mozilla/idea-town-server",251,123,"2015-08-12T21:27:27Z","2023-03-27T15:53:18Z","https://testpilot.firefox.com/","true"
"mozilla/tls-observatory",519,97,"2014-09-11T15:23:25Z","2023-07-29T17:35:36Z","","false"
"mozilla/webmaker-android",167,113,"2014-07-28T23:25:53Z","2023-07-11T12:45:52Z","https://play.google.com/store/apps/details?id=org.mozilla.webmaker","false"
"venables/koa-helmet",642,42,"2014-03-29T22:04:48Z","2023-07-18T12:05:31Z","","false"
"JedWatson/node-premailer",74,7,"2012-10-22T02:56:59Z","2023-06-19T00:30:32Z","","false"
"brianchirls/Seriously.js",3846,372,"2011-09-10T16:50:41Z","2023-07-30T00:05:11Z","","false"
"devongovett/png.js",477,91,"2011-08-06T16:22:58Z","2023-06-25T10:22:40Z","http://devongovett.github.com/png.js","false"
"donejs/donejs",1354,164,"2010-02-11T00:19:31Z","2023-07-20T16:56:13Z","https://donejs.com","false"
"emberfeather/less.js-middleware",269,77,"2012-03-23T19:51:26Z","2023-03-13T05:37:29Z","","false"
"imakewebthings/deck.js",5417,650,"2011-05-24T04:23:15Z","2023-08-04T17:24:15Z","http://imakewebthings.com/deck.js","false"
"jsfiddle/togetherjs",6984,892,"2012-12-05T00:15:41Z","2023-08-06T23:09:04Z","https://togetherjs.com","false"
"mongoosastic/mongoosastic",1070,340,"2014-10-24T16:44:30Z","2023-07-30T05:38:03Z","https://mongoosastic.github.io/mongoosastic/","false"
"twitwi/deck.js",36,9,"2011-12-02T00:06:58Z","2021-03-22T08:22:54Z","http://home.heeere.com/tech-deckjs-ext.html","false"
"SparkyBluefang/S4E",60,18,"2012-12-30T03:16:37Z","2023-01-28T08:11:41Z",,"false"
"ajaxorg/ace",25845,5315,"2010-10-27T10:43:36Z","2023-08-07T12:38:11Z","https://ace.c9.io","false"
"jviereck/regexp.js",51,8,"2013-02-03T08:33:05Z","2022-11-18T06:14:56Z",,"false"
"jviereck/regjsparser",68,19,"2013-11-03T15:35:34Z","2023-02-19T15:39:01Z","http://www.julianviereck.de/regjsparser/","false"
"VirtualCSS/planning",66,0,"2015-03-31T20:06:53Z","2022-04-08T13:05:37Z",,"false"
"joewalker/gcli",389,89,"2010-12-22T13:44:33Z","2023-07-13T12:57:23Z","","false"
"adobe/brackets",33408,7951,"2011-12-07T21:14:40Z","2023-08-07T06:49:18Z","http://brackets.io","false"
"babel/babel",42441,5698,"2014-09-28T13:38:23Z","2023-08-07T11:41:22Z","https://babel.dev","false"
"benoitsteiner/tensorflow-opencl",465,88,"2016-06-03T17:03:42Z","2023-06-20T11:40:30Z","","false"
"codemix/fast.js",3426,131,"2014-06-24T11:23:42Z","2023-06-28T14:19:22Z",,"false"
"ryanackley/tailor",166,19,"2013-06-25T14:35:09Z","2022-07-14T10:56:04Z","http://brackets.io","false"
"tensorflow/tensorflow",176743,88767,"2015-11-07T01:19:20Z","2023-08-07T13:55:54Z","https://tensorflow.org","false"
"tomerfiliba-org/rpyc",1424,237,"2009-03-08T11:23:29Z","2023-08-04T22:36:32Z","http://rpyc.readthedocs.org","false"
"babel/babylon",1713,274,"2016-03-10T05:49:43Z","2023-07-27T06:04:10Z","https://github.com/babel/babel/tree/master/packages/babel-parser","false"
"emailjs/emailjs-imap-client",526,123,"2014-02-23T14:49:23Z","2023-07-23T03:27:57Z","","false"
"facebook/react",211415,44342,"2013-05-24T16:15:54Z","2023-08-07T13:55:07Z","https://react.dev","false"
"localForage/localForage",22624,1263,"2013-10-31T00:10:06Z","2023-08-07T10:42:54Z","https://localforage.github.io/localForage","false"
"petewarden/tensorflow_makefile",70,116,"2016-05-20T02:28:53Z","2023-01-20T08:16:12Z",,"false"
"stack-of-tasks/eigenpy",136,34,"2014-07-15T16:55:01Z","2023-08-04T07:03:34Z","","false"
"tensorflow/docs",5833,5238,"2018-04-12T22:23:12Z","2023-08-07T13:06:53Z","https://www.tensorflow.org","false"
"tensorflow/docs-l10n",640,620,"2020-01-23T18:15:35Z","2023-08-02T08:55:59Z","https://gitlocalize.com/tensorflow/docs-l10n","false"
